{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D2975', 'chicken_burger', 4, 6.99, 'extra_cheese|fries', 'BIGBITE'), 'answer': 'D2975'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D5894', 'chicken_burger', 4, 6.99, '', 'SAVE3'), 'answer': 'D5894'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D4192', 'classic_burger', 1, 5.49, 'drink', ''), 'answer': 'D4192'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D1438', 'veggie_burger', 4, 5.99, 'drink|fries', 'SAVE3'), 'answer': 'D1438'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D9154', 'classic_burger', 4, 5.49, 'extra_cheese', 'BIGBITE'), 'answer': 'D9154'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D1848', 'chicken_burger', 1, 6.99, 'fries', 'SAVE3'), 'answer': 'D1848'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D8078', 'cheeseburger', 1, 6.49, 'drink|extra_cheese|fries', 'SAVE3'), 'answer': 'D8078'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D1287', 'chicken_burger', 5, 6.99, 'fries', 'SAVE3'), 'answer': 'D1287'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D5240', 'cheeseburger', 2, 6.49, '', ''), 'answer': 'D5240'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D7675', 'veggie_burger', 6, 5.99, 'drink|extra_cheese', 'BIGBITE'), 'answer': 'D7675'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D8902', 'chicken_burger', 4, 6.99, 'drink|fries|extra_cheese', 'FREEDELIVERY'), 'answer': 'D8902'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D1388', 'classic_burger', 2, 5.49, '', 'FREEDELIVERY'), 'answer': 'D1388'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D2542', 'cheeseburger', 4, 6.49, '', 'FREEDELIVERY'), 'answer': 'D2542'}
{'name': 'Order_id', 'info': 'Return the Deliveroo order ID from one order tuple.\n\nThe order format is:\n(order_id, item, quantity, unit_price, extras, coupon)', 'payload': ('D8168', 'cheeseburger', 3, 6.49, 'drink|extra_cheese', 'FREEDELIVERY'), 'answer': 'D8168'}
